name,status,market,category_list,country_code,state_code,region,funding_total_usd,funding_rounds,founded_at,first_funding_at,last_funding_at,seed,venture,angel,round_A,round_B,round_C,days_to_first_check,time_between_rounds
Flaviar,operating, Hospitality ,|Hospitality|,GBR,Non-US/Unknown,London,514640.0,2.0,2012-01-01,2013-07-02,2014-09-26,514640.0,0.0,0.0,0.0,0.0,0.0,548.0,451
Flavour,operating, Apps ,|Apps|,Unknown,Non-US/Unknown,Unknown,1250000.0,1.0,2014-01-01,2014-04-30,2014-04-30,1250000.0,0.0,0.0,0.0,0.0,0.0,119.0,0
FleAffair,operating, Internet ,|All Markets|Internet|Local Businesses|,IND,Non-US/Unknown,New Delhi,10000.0,1.0,2013-08-11,2013-11-21,2013-11-21,10000.0,0.0,0.0,0.0,0.0,0.0,102.0,0
Fleck - The Bigger Picture,operating, Communities ,|Communities|Photo Sharing|Interest Graph|Curated Web|,USA,OR,"Portland, Oregon",60000.0,2.0,2012-01-01,2013-10-11,2014-06-01,60000.0,0.0,0.0,0.0,0.0,0.0,649.0,233
Fleep,operating, Messaging ,|Messaging|,EST,Non-US/Unknown,Tallinn,797692.0,2.0,2012-01-01,2013-08-29,2014-03-18,797692.0,0.0,0.0,0.0,0.0,0.0,606.0,201
Fleksy,operating, Mobile ,|Mobile|,USA,CA,SF Bay Area,5900000.0,3.0,2011-05-18,2012-10-31,2014-10-28,900000.0,5000000.0,0.0,3000000.0,0.0,0.0,532.0,727
Flexible Medical Systems,operating, Health Care ,|Health Care|,USA,MD,MD - Other,4062155.0,5.0,2005-01-01,2007-09-21,2013-05-20,1200000.0,2862155.0,0.0,0.0,0.0,0.0,993.0,2068
FlexMinder,operating, Health Care ,|Health Care|Finance|Health and Wellness|,USA,WA,Seattle,2770000.0,4.0,2011-01-01,2011-11-01,2014-03-25,170000.0,2600000.0,0.0,2600000.0,0.0,0.0,304.0,875
FlexScore,operating, Financial Services ,|Financial Services|Finance|,USA,CA,SF Bay Area,4700000.0,3.0,2012-09-01,2013-04-01,2014-09-23,4000000.0,0.0,700000.0,0.0,0.0,0.0,212.0,540
Flextrip,acquired, Finance ,|Finance|Tourism|Travel|,USA,CO,Denver,350000.0,2.0,2010-09-01,2011-08-01,2011-11-01,350000.0,0.0,0.0,0.0,0.0,0.0,334.0,92
FlightCar,operating, E-Commerce ,|Online Rental|Travel|E-Commerce|,USA,MA,Boston,19710000.0,5.0,2012-02-01,2012-07-02,2014-09-10,590000.0,19100000.0,0.0,19100000.0,0.0,0.0,152.0,800
FlightOffice,operating, Enterprises ,|Transportation|SaaS|Enterprises|Enterprise Software|,TUR,Non-US/Unknown,Çan,650000.0,1.0,2010-11-26,2011-07-01,2011-07-01,650000.0,0.0,0.0,0.0,0.0,0.0,217.0,0
Fligoo,operating, Algorithms ,|Reviews and Recommendations|Social Search|Algorithms|Search|B2B|Machine Learning|Big Data|Social Media|,USA,CA,SF Bay Area,545000.0,5.0,2011-10-17,2013-03-01,2014-09-20,545000.0,0.0,0.0,0.0,0.0,0.0,501.0,568
Flint and Tinder,operating, E-Commerce ,|E-Commerce|,USA,NY,New York City,850000.0,1.0,2011-01-01,2012-10-21,2012-10-21,850000.0,0.0,0.0,0.0,0.0,0.0,659.0,0
FLIP4NEW,operating, Marketplaces ,|Marketplaces|Electronics|Gadget|E-Commerce|,DEU,Non-US/Unknown,Frankfurt,380910.0,2.0,2009-10-01,2010-09-08,2012-02-03,380910.0,0.0,0.0,0.0,0.0,0.0,342.0,513
Flipaste,operating, Marketplaces ,|Marketplaces|Advertising|Internet|Travel & Tourism|,ARG,Non-US/Unknown,Buenos Aires,25000.0,1.0,2010-01-01,2012-08-01,2012-08-01,25000.0,0.0,0.0,0.0,0.0,0.0,943.0,0
Flipcause,operating, Event Management ,|SaaS|Event Management|Payments|E-Commerce|Crowdfunding|Nonprofits|Enterprise Software|,USA,CA,SF Bay Area,320000.0,2.0,2013-09-01,2014-09-01,2014-10-01,30000.0,0.0,290000.0,0.0,0.0,0.0,365.0,30
Flipiture,operating, Photography ,|Photography|,USA,CA,SF Bay Area,611347.0,2.0,2011-01-01,2011-12-27,2013-03-21,611347.0,0.0,0.0,0.0,0.0,0.0,360.0,450
Flipps,operating, Digital Media ,|Television|Digital Media|Video on Demand|Mobile|,Unknown,Non-US/Unknown,Unknown,2878032.0,3.0,2011-05-30,2012-12-17,2014-04-30,2878032.0,0.0,0.0,0.0,0.0,0.0,567.0,499
Flipter,acquired, Social Media ,|Big Data|Polling|Social Media|Curated Web|,CHL,Non-US/Unknown,Santiago,60000.0,2.0,2010-01-01,2012-02-15,2013-09-01,60000.0,0.0,0.0,0.0,0.0,0.0,775.0,564
Fliptop,operating, Big Data ,|Predictive Analytics|Big Data|Enterprise Software|,Unknown,Non-US/Unknown,Unknown,7000000.0,3.0,2010-01-01,2011-06-28,2013-03-01,2400000.0,3600000.0,0.0,0.0,0.0,0.0,543.0,612
Fliptu,operating, Social Media ,|Lead Generation|Analytics|Gambling|Flash Sales|Social Commerce|Social Media|,USA,CA,Los Angeles,685000.0,2.0,2011-10-01,2012-03-01,2013-12-25,685000.0,0.0,0.0,0.0,0.0,0.0,152.0,664
Flirq,operating, Curated Web ,|Social Media|Online Dating|Curated Web|,USA,PA,Philadelphia,50000.0,2.0,2011-09-01,2011-09-12,2012-02-01,50000.0,0.0,0.0,0.0,0.0,0.0,11.0,142
Flirtatious Labs,operating, Online Dating ,|Online Dating|Facebook Applications|Social Games|Games|,FRA,Non-US/Unknown,Paris,37150.0,1.0,2011-05-01,2011-05-01,2011-05-01,37150.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Flixel Photos,operating, Photography ,|Photography|,CAN,NL,St. John's,3026555.0,4.0,2011-10-14,2011-10-26,2013-08-31,2256555.0,0.0,395000.0,0.0,0.0,0.0,12.0,675
Flixwagon,operating, Mobile ,|Video Streaming|Broadcasting|Video|Mobile|,ISR,Non-US/Unknown,Tel Aviv,2500000.0,3.0,2007-01-01,2007-01-01,2010-01-01,1000000.0,1500000.0,0.0,1500000.0,0.0,0.0,0.0,1096
Flo Water,operating, Water ,|Water|Consumer Goods|,USA,HI,HI - Other,900000.0,2.0,2008-01-01,2013-03-21,2013-07-10,20000.0,880000.0,0.0,0.0,0.0,0.0,1906.0,111
FlockOfBirds,operating, Software ,|iOS|iPhone|Twitter Applications|Software|,DEU,Non-US/Unknown,Hamburg,127527.0,1.0,2010-11-03,2010-11-03,2010-11-03,127527.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Flocktory,operating, E-Commerce ,|E-Commerce|,RUS,Non-US/Unknown,Moscow,1700000.0,2.0,2012-04-01,2012-04-01,2013-06-05,200000.0,1500000.0,0.0,1500000.0,0.0,0.0,0.0,430
Flomio,operating, NFC ,|Finance|NFC|E-Commerce|,USA,FL,Miami,543000.0,2.0,2011-05-01,2012-01-01,2012-07-27,543000.0,0.0,0.0,0.0,0.0,0.0,245.0,208
Floop Technologies,operating, Mobile ,|Mobile|,CAN,QC,Montreal,1359000.0,5.0,2012-12-19,2013-01-01,2014-07-24,1359000.0,0.0,0.0,0.0,0.0,0.0,13.0,569
Floored,operating, Software ,|Enterprises|Hardware|3D|Real Estate|Software|,Unknown,Non-US/Unknown,Unknown,7360000.0,3.0,2012-07-01,2012-12-01,2013-12-19,2100000.0,5260000.0,0.0,5260000.0,0.0,0.0,153.0,383
Flooved,operating, Education ,|Education|,GBR,Non-US/Unknown,London,600000.0,1.0,2011-07-04,2013-09-20,2013-09-20,600000.0,0.0,0.0,0.0,0.0,0.0,809.0,0
FloQast,operating, Enterprise Software ,|Accounting|B2B|SaaS|Enterprise Software|,USA,CA,Los Angeles,1350000.0,2.0,2013-01-01,2013-10-07,2014-11-05,1350000.0,0.0,0.0,0.0,0.0,0.0,279.0,394
Floqq,operating, Video ,|Video|Marketplaces|Education|,ESP,Non-US/Unknown,Madrid,1060000.0,5.0,2012-01-01,2012-01-30,2013-12-19,1060000.0,0.0,0.0,0.0,0.0,0.0,29.0,689
Flotype,operating, Enterprise Software ,|Enterprise Software|,USA,CA,SF Bay Area,1400000.0,2.0,2010-10-03,2011-03-02,2012-01-05,1400000.0,0.0,0.0,0.0,0.0,0.0,150.0,309
Flow Search Corporation,operating, Enterprise Software ,|Enterprise Software|,USA,NY,New York City,6427926.0,3.0,2010-01-01,2011-08-01,2012-10-01,6427926.0,0.0,0.0,0.0,0.0,0.0,577.0,427
Flow Studio,operating, Mobile ,|Entertainment|Mobile|Games|,CZE,Non-US/Unknown,Prague,250000.0,1.0,2011-01-07,2013-08-02,2013-08-02,250000.0,0.0,0.0,0.0,0.0,0.0,938.0,0
Flowbox,operating, Video Processing ,|Video Processing|Visualization|Video|Software|,POL,Non-US/Unknown,Krakow,45000.0,1.0,2010-01-01,2014-01-01,2014-01-01,45000.0,0.0,0.0,0.0,0.0,0.0,1461.0,0
Flowdock,acquired, Messaging ,|Real Time|SaaS|Software|Productivity Software|Internet|Chat|Information Technology|Collaboration|Messaging|,FIN,Non-US/Unknown,Helsinki,650000.0,1.0,2009-12-23,2011-10-01,2011-10-01,650000.0,0.0,0.0,0.0,0.0,0.0,647.0,0
Flowgram,closed, Curated Web ,|Digital Media|Curated Web|,USA,CA,SF Bay Area,1300000.0,1.0,2007-06-01,2008-01-31,2008-01-31,1300000.0,0.0,0.0,0.0,0.0,0.0,244.0,0
FlowJob,closed, Online Shopping ,|Bridging Online and Offline|Service Providers|Online Shopping|,GBR,Non-US/Unknown,Belfast,86547.0,1.0,2010-01-01,2010-05-01,2010-05-01,86547.0,0.0,0.0,0.0,0.0,0.0,120.0,0
Flowtown,acquired, Analytics ,|Analytics|,USA,CA,SF Bay Area,750000.0,1.0,2009-02-01,2010-08-25,2010-08-25,750000.0,0.0,0.0,0.0,0.0,0.0,570.0,0
Fluc - Food Lovers United Co.,operating, Collaborative Consumption ,|Collaborative Consumption|Marketplaces|Crowdsourcing|Restaurants|Bridging Online and Offline|Local Businesses|Logistics|Local|Small and Medium Businesses|Mobile|,USA,CA,SF Bay Area,2300000.0,1.0,2013-07-05,2014-11-24,2014-11-24,2300000.0,0.0,0.0,0.0,0.0,0.0,507.0,0
Flud,closed, Social Media ,|Social Media|News|Mobile|Enterprise Software|,USA,CA,San Diego,2100000.0,3.0,2010-10-01,2011-04-13,2012-09-01,1000000.0,0.0,0.0,0.0,0.0,0.0,194.0,507
Fluther,acquired, Curated Web ,|Curated Web|,USA,CA,SF Bay Area,600000.0,1.0,2007-01-01,2009-09-21,2009-09-21,600000.0,0.0,0.0,0.0,0.0,0.0,994.0,0
Flutter,acquired, Software ,|Software|,USA,CA,SF Bay Area,1400000.0,1.0,2010-01-01,2012-06-07,2012-06-07,1400000.0,0.0,0.0,0.0,0.0,0.0,888.0,0
Fluttr,operating, Events ,|Advertising Platforms|Events|,Unknown,Non-US/Unknown,Unknown,170000.0,1.0,2014-08-01,2014-08-05,2014-08-05,170000.0,0.0,0.0,0.0,0.0,0.0,4.0,0
flux - neutrinity,operating, Software ,|Messaging|Unifed Communications|Software|,DEU,Non-US/Unknown,Berlin,102548.0,2.0,2012-04-01,2013-08-05,2014-04-01,19913.0,0.0,82635.0,0.0,0.0,0.0,491.0,239
FlxOne,operating, Software ,|Big Data|Software|Advertising|,NLD,Non-US/Unknown,Eindhoven,900000.0,1.0,2012-02-01,2012-03-25,2012-03-25,900000.0,0.0,0.0,0.0,0.0,0.0,53.0,0
Fly Apparel,operating, Fashion ,|E-Commerce|Fashion|,USA,OH,"Columbus, Ohio",40000.0,2.0,2012-01-01,2013-09-01,2013-09-05,40000.0,0.0,0.0,0.0,0.0,0.0,609.0,4
FlyCleaners,operating, Hospitality ,|Hospitality|Apps|Local Businesses|,USA,NY,New York City,2000000.0,1.0,2013-01-01,2013-12-17,2013-12-17,2000000.0,0.0,0.0,0.0,0.0,0.0,350.0,0
FlyData,operating, Big Data ,|Cloud Computing|Databases|Big Data|Analytics|,USA,CA,SF Bay Area,3055000.0,3.0,2011-04-01,2011-09-30,2014-05-27,680000.0,2375000.0,0.0,0.0,0.0,0.0,182.0,970
"Flyer, Inc.",operating, Real Estate ,|Real Estate|,USA,CA,SF Bay Area,40000.0,2.0,2012-06-23,2013-04-24,2014-06-01,40000.0,0.0,0.0,0.0,0.0,0.0,305.0,403
Flypay,operating, Apps ,|Customer Service|Apps|Restaurants|,Unknown,Non-US/Unknown,Unknown,1744347.0,2.0,2013-02-26,2013-06-28,2014-03-11,1515251.0,0.0,229096.0,0.0,0.0,0.0,122.0,256
Flythegap,operating, Development Platforms ,|Development Platforms|,CHL,Non-US/Unknown,Santiago,40000.0,1.0,2013-01-01,2014-06-01,2014-06-01,40000.0,0.0,0.0,0.0,0.0,0.0,516.0,0
Flytivity,operating, Curated Web ,|Curated Web|,Unknown,Non-US/Unknown,Unknown,150000.0,1.0,2011-03-01,2011-05-01,2011-05-01,150000.0,0.0,0.0,0.0,0.0,0.0,61.0,0
Flywheel,operating, Web Hosting ,|Web Design|Blogging Platforms|Web Hosting|,USA,NE,Omaha,1200000.0,1.0,2012-10-01,2014-09-05,2014-09-05,1200000.0,0.0,0.0,0.0,0.0,0.0,704.0,0
Fobbler,operating, Software ,|Software|,USA,CA,Los Angeles,655000.0,1.0,2012-01-03,2014-02-21,2014-02-21,655000.0,0.0,0.0,0.0,0.0,0.0,780.0,0
FocusMotion,operating, Health and Wellness ,|Health and Wellness|,USA,CA,Los Angeles,150000.0,1.0,2012-01-01,2013-10-16,2013-10-16,150000.0,0.0,0.0,0.0,0.0,0.0,654.0,0
FoKo,operating, Enterprise Software ,|Enterprise Software|,CAN,QC,Gatineau,450000.0,1.0,2013-03-01,2014-10-01,2014-10-01,450000.0,0.0,0.0,0.0,0.0,0.0,579.0,0
Foldees,closed, Curated Web ,|Portals|Crowdsourcing|Design|Gift Card|Curated Web|,MYS,Non-US/Unknown,Kuala Lumpur,40000.0,1.0,2007-08-31,2007-10-31,2007-10-31,40000.0,0.0,0.0,0.0,0.0,0.0,61.0,0
Folkstr,closed, Social Media ,|Social Media|,Unknown,Non-US/Unknown,Unknown,250000.0,1.0,2007-10-10,2008-03-23,2008-03-23,250000.0,0.0,0.0,0.0,0.0,0.0,165.0,0
FOLUP,operating, Mobile Health ,|Mobile Health|mHealth|Health Care|,JOR,Non-US/Unknown,JOR - Other,500000.0,1.0,2012-08-01,2012-11-01,2012-11-01,500000.0,0.0,0.0,0.0,0.0,0.0,92.0,0
Fondu,acquired, Location Based Services ,|Reviews and Recommendations|Location Based Services|Curated Web|,USA,NY,New York City,575000.0,1.0,2010-02-01,2011-11-01,2011-11-01,575000.0,0.0,0.0,0.0,0.0,0.0,638.0,0
fone.do,operating, Telecommunications ,|Telecommunications|,Unknown,Non-US/Unknown,Unknown,500000.0,1.0,2014-11-05,2014-11-05,2014-11-05,500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Fonemesh,closed, Mobile ,|Mobile|,USA,CA,SF Bay Area,250000.0,2.0,2008-04-01,2008-05-01,2008-06-01,150000.0,0.0,100000.0,0.0,0.0,0.0,30.0,31
FoneSense,operating, Software ,|Software|Android|Brand Marketing|Sales and Marketing|Audio|Mobile|Advertising|,IRL,Non-US/Unknown,Waterford,176781.0,3.0,2013-01-01,2013-01-01,2013-12-01,120661.0,0.0,56120.0,0.0,0.0,0.0,0.0,334
Foneshow,operating, Video Streaming ,|Video Streaming|Music|Mobile|,USA,ME,"Portland, Maine",2075000.0,3.0,2006-09-01,2006-09-01,2009-06-23,25000.0,2050000.0,0.0,1550000.0,0.0,0.0,0.0,1026
Fooala,operating, E-Commerce ,|E-Commerce|,Unknown,Non-US/Unknown,Unknown,25000.0,1.0,2008-01-01,2009-07-01,2009-07-01,25000.0,0.0,0.0,0.0,0.0,0.0,547.0,0
Food Genius,operating, Startups ,|Startups|Analytics|,USA,IL,Chicago,2275000.0,3.0,2010-05-01,2011-06-01,2013-09-17,75000.0,2200000.0,0.0,2200000.0,0.0,0.0,396.0,839
Food Reporter,operating, Hospitality ,|Hospitality|,FRA,Non-US/Unknown,Paris,60000.0,1.0,2011-01-01,2011-03-01,2011-03-01,60000.0,0.0,0.0,0.0,0.0,0.0,59.0,0
food.de,operating, Hospitality ,|Hospitality|E-Commerce|,DEU,Non-US/Unknown,Berlin,992514.0,1.0,2011-06-22,2012-12-20,2012-12-20,992514.0,0.0,0.0,0.0,0.0,0.0,547.0,0
Food52,operating, Cooking ,|Cooking|Consumer Goods|Publishing|Hospitality|,USA,NY,New York City,9000000.0,3.0,2009-01-01,2010-01-01,2014-09-30,750000.0,8250000.0,0.0,8250000.0,0.0,0.0,365.0,1733
Fooda,operating, Enterprise Software ,|Enterprise Software|,USA,IL,Chicago,12800000.0,2.0,2011-01-01,2011-05-01,2013-11-01,2800000.0,10000000.0,0.0,0.0,10000000.0,0.0,120.0,915
FoodBox,operating, Social Media ,|Social Media|,USA,CA,Los Angeles,500000.0,2.0,2011-08-29,2011-09-07,2012-01-13,500000.0,0.0,0.0,0.0,0.0,0.0,9.0,128
Foodem,operating, Hospitality ,|Restaurants|Hospitality|,USA,MD,Baltimore,875000.0,3.0,2010-01-01,2010-01-01,2013-05-14,800000.0,0.0,0.0,0.0,0.0,0.0,0.0,1229
FoodEssentials,operating, Databases ,|Databases|Health and Wellness|Nutrition|Analytics|,USA,MO,St. Louis,2327921.0,5.0,2008-01-01,2012-06-01,2014-10-14,650000.0,1527921.0,0.0,1527921.0,0.0,0.0,1613.0,865
Foodie Media Network,operating, Digital Media ,|Mobile Commerce|Digital Media|Content|Curated Web|,USA,CA,Los Angeles,435000.0,1.0,2012-01-01,2013-12-06,2013-12-06,435000.0,0.0,0.0,0.0,0.0,0.0,705.0,0
foodjunky,operating, Hospitality ,|SaaS|B2B|Hospitality|,USA,MI,Detroit,140000.0,2.0,2011-08-06,2012-01-01,2013-11-26,40000.0,0.0,0.0,0.0,0.0,0.0,148.0,695
Foodscovery,operating, Marketplaces ,|Marketplaces|,ITA,Non-US/Unknown,Pescara,780000.0,1.0,2013-07-29,2014-07-18,2014-07-18,780000.0,0.0,0.0,0.0,0.0,0.0,354.0,0
FOODSCROOGE,closed, E-Commerce ,|Group Buying|E-Commerce|,CAN,ON,Toronto,200554.0,1.0,2010-10-01,2011-02-01,2011-02-01,200554.0,0.0,0.0,0.0,0.0,0.0,123.0,0
FoodShootr,operating, Photo Sharing ,|Social Media|Social Network Media|iPhone|Apps|Ediscovery|Photo Sharing|Photography|Hospitality|,CAN,ON,Toronto,236135.0,2.0,2012-06-19,2013-02-01,2013-04-16,236135.0,0.0,0.0,0.0,0.0,0.0,227.0,74
Foodspotting,acquired, Guides ,|Startups|Guides|Local|Location Based Services|Hospitality|,USA,NY,New York City,3750000.0,2.0,2009-09-01,2010-08-25,2011-01-10,750000.0,3000000.0,0.0,3000000.0,0.0,0.0,358.0,138
Foodtoeat,operating, Restaurants ,|Hospitality|Restaurants|E-Commerce|,USA,NY,New York City,500000.0,1.0,2011-05-31,2011-07-01,2011-07-01,500000.0,0.0,0.0,0.0,0.0,0.0,31.0,0
Foodzai,operating, Curated Web ,|Curated Web|,Unknown,Non-US/Unknown,Unknown,19299.0,1.0,2012-02-11,2013-08-05,2013-08-05,19299.0,0.0,0.0,0.0,0.0,0.0,541.0,0
Foomanchew.com,operating, E-Commerce ,|E-Commerce|,USA,TN,Nashville,400000.0,1.0,2012-01-01,2013-10-08,2013-10-08,400000.0,0.0,0.0,0.0,0.0,0.0,646.0,0
Football Meister,operating, Location Based Services ,|Soccer|Sports|Startups|Mobile|Social Media|Location Based Services|Games|,NLD,Non-US/Unknown,NLD - Other,500000.0,1.0,2011-01-01,2011-01-01,2011-01-01,500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Footmarks,operating, Mobile ,|Wireless|Sales and Marketing|Proximity Internet|M2M|Mobile Software Tools|Navigation|Location Based Services|Retail|Analytics|Big Data|Sensors|Mobile|,USA,WA,Seattle,2350000.0,2.0,2012-03-01,2013-05-29,2014-10-13,1850000.0,0.0,0.0,0.0,0.0,0.0,454.0,502
Foound,operating, iOS ,|iPhone|iOS|Mobile|Location Based Services|Social Media|Curated Web|,SGP,Non-US/Unknown,Singapore,500000.0,1.0,2009-11-01,2010-09-11,2010-09-11,500000.0,0.0,0.0,0.0,0.0,0.0,314.0,0
FORA.tv,operating, Events ,|Events|Politics|Video Streaming|Video|Photography|,USA,CA,SF Bay Area,8000000.0,2.0,2005-01-01,2007-10-01,2008-05-01,2000000.0,6000000.0,0.0,6000000.0,0.0,0.0,1003.0,213
Force Impact Technologies,operating, Sports ,|Young Adults|Sports|,USA,CA,Los Angeles,135500.0,5.0,2013-03-01,2013-08-01,2014-07-14,100000.0,0.0,0.0,0.0,0.0,0.0,153.0,347
Forcura,operating, Enterprise Software ,|Enterprise Software|,USA,FL,Jacksonville,150000.0,1.0,2010-01-01,2012-07-27,2012-07-27,150000.0,0.0,0.0,0.0,0.0,0.0,938.0,0
Foresight Biotherapeutics,operating, Biotechnology ,|Biotechnology|,USA,NY,New York City,17000290.0,2.0,2008-01-01,2011-07-29,2013-11-13,2000290.0,15000000.0,0.0,0.0,0.0,0.0,1305.0,838
Forest Chemical Group,operating, Chemicals ,|Chemicals|Biotechnology|,ESP,Non-US/Unknown,Alicante,2573200.0,1.0,2009-01-01,2013-09-07,2013-09-07,2573200.0,0.0,0.0,0.0,0.0,0.0,1710.0,0
Forkforce,operating, Startups ,|Social Network Media|Employment|Hospitality|Restaurants|Startups|,USA,WI,Madison,350000.0,2.0,2013-06-01,2013-10-01,2014-05-20,350000.0,0.0,0.0,0.0,0.0,0.0,122.0,231
"Form Devices, Inc.",operating, Internet of Things ,|Home Automation|Security|Internet of Things|,USA,CA,SF Bay Area,25000.0,1.0,2014-06-11,2014-07-14,2014-07-14,25000.0,0.0,0.0,0.0,0.0,0.0,33.0,0
FormaFina,operating, Lifestyle ,|Lifestyle|Design|E-Commerce|,ARG,Non-US/Unknown,Buenos Aires,3995000.0,5.0,2012-02-01,2012-03-01,2013-09-23,3065000.0,0.0,0.0,0.0,0.0,0.0,29.0,571
Formisimo,operating, Software ,|Startups|SaaS|Analytics|Software|,Unknown,Non-US/Unknown,Unknown,1172451.0,2.0,2013-03-01,2014-05-30,2014-06-02,1172451.0,0.0,0.0,0.0,0.0,0.0,455.0,3
Formula XO,operating, Beauty ,|Beauty|Cosmetics|,USA,VA,"Washington, D.C.",800000.0,1.0,2013-01-04,2013-12-17,2013-12-17,800000.0,0.0,0.0,0.0,0.0,0.0,347.0,0
Forrst,acquired, Social Network Media ,|Social Network Media|Design|Curated Web|,USA,CA,SF Bay Area,205000.0,1.0,2010-01-25,2011-03-24,2011-03-24,205000.0,0.0,0.0,0.0,0.0,0.0,423.0,0
Forsake,operating, Outdoors ,|Outdoors|Fashion|Consumers|E-Commerce|,USA,MA,Boston,250000.0,1.0,2011-01-01,2013-05-31,2013-05-31,250000.0,0.0,0.0,0.0,0.0,0.0,881.0,0
Forsyth Technical Community College,operating, Education ,|Education|,USA,NC,Winston-Salem,500000.0,1.0,1960-01-01,2013-06-07,2013-06-07,500000.0,0.0,0.0,0.0,0.0,0.0,19516.0,0
FORTIFIED Bicycle,operating, Sporting Goods ,|Sporting Goods|,USA,MA,Boston,118000.0,1.0,2011-01-01,2014-11-13,2014-11-13,118000.0,0.0,0.0,0.0,0.0,0.0,1412.0,0
Fortress Risk Management,operating, Finance ,|Finance|,USA,CT,CT - Other,4100000.0,2.0,2010-01-01,2011-08-22,2014-10-22,600000.0,3500000.0,0.0,0.0,0.0,0.0,598.0,1157
Forum Info-Tech,operating, Software ,|Software|,USA,CA,Ontario - Inland Empire,325002.0,1.0,2004-01-01,2013-08-14,2013-08-14,325002.0,0.0,0.0,0.0,0.0,0.0,3513.0,0
FORVM,operating, Forums ,|Lead Generation|Networking|Forums|Curated Web|,USA,CA,SF Bay Area,642000.0,2.0,2012-05-11,2012-07-01,2013-06-01,642000.0,0.0,0.0,0.0,0.0,0.0,51.0,335
ForwardMetrics,operating, Software ,|Training|Career Planning|Enterprises|Cloud Computing|Business Services|Teachers|Software|,USA,CA,San Diego,1000000.0,1.0,2012-01-01,2013-07-22,2013-07-22,1000000.0,0.0,0.0,0.0,0.0,0.0,568.0,0
Fotomoto,acquired, Photography ,|Photography|E-Commerce|,USA,CA,SF Bay Area,1822922.0,3.0,2008-10-01,2008-12-01,2011-05-26,300000.0,1522922.0,0.0,1522922.0,0.0,0.0,61.0,906
FotoSwipe,operating, Photo Sharing ,|Photo Sharing|Mobile|,Unknown,Non-US/Unknown,Unknown,585000.0,2.0,2014-01-01,2014-07-03,2014-09-19,350000.0,235000.0,0.0,0.0,0.0,0.0,183.0,78
FoundHealth.com,operating, Health and Wellness ,|Social Network Media|Medical|Health and Wellness|,USA,CA,SF Bay Area,100000.0,1.0,2010-01-01,2010-08-01,2010-08-01,100000.0,0.0,0.0,0.0,0.0,0.0,212.0,0
Four Eyes,operating, Retail ,|Retail|Curated Web|,PHL,Non-US/Unknown,Manila,350000.0,1.0,2012-01-01,2014-09-12,2014-09-12,350000.0,0.0,0.0,0.0,0.0,0.0,985.0,0
Fourandhalf,operating, Social Media ,|Social Media|,USA,CA,SF Bay Area,119998.0,1.0,2012-01-01,2013-01-28,2013-01-28,119998.0,0.0,0.0,0.0,0.0,0.0,393.0,0
Fourteen IP,operating, Hospitality ,|Hospitality|,GBR,Non-US/Unknown,Lancashire,757625.0,1.0,2008-01-01,2013-06-11,2013-06-11,757625.0,0.0,0.0,0.0,0.0,0.0,1988.0,0
FOURward Thought,closed, Consulting ,|Technology|Collaboration|Consulting|,Unknown,Non-US/Unknown,Unknown,4000.0,1.0,2010-10-01,2010-10-01,2010-10-01,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Foxtrot,operating, E-Commerce ,|E-Commerce|,Unknown,Non-US/Unknown,Unknown,50000.0,1.0,2013-06-01,2013-06-01,2013-06-01,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Fragegg,operating, MMO Games ,|FreetoPlay Gaming|MMO Games|Games|,GBR,Non-US/Unknown,London,227505.0,1.0,2008-03-01,2008-03-01,2008-03-01,227505.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Fraktalia Studios,operating, Game ,|Game|,Unknown,Non-US/Unknown,Unknown,19889.0,1.0,2011-01-01,2013-08-01,2013-08-01,19889.0,0.0,0.0,0.0,0.0,0.0,943.0,0
Framebench,operating, Collaboration ,|Collaboration|Design|Software|,IND,Non-US/Unknown,New Delhi,150000.0,1.0,2012-01-01,2013-01-25,2013-01-25,150000.0,0.0,0.0,0.0,0.0,0.0,390.0,0
Framebridge,operating, Consumer Goods ,|Consumer Goods|,USA,MD,"Washington, D.C.",1250000.0,1.0,2014-01-01,2014-08-07,2014-08-07,1250000.0,0.0,0.0,0.0,0.0,0.0,218.0,0
Frameri,operating, Fashion ,|Fashion|,USA,OH,Cincinnati,750000.0,1.0,2013-01-01,2014-07-29,2014-07-29,750000.0,0.0,0.0,0.0,0.0,0.0,574.0,0
Frasen,operating, Software ,|Medical Devices|Software|Healthcare Services|Hardware + Software|,KOR,Non-US/Unknown,Seoul,558375.0,1.0,2011-03-08,2013-10-01,2013-10-01,558375.0,0.0,0.0,0.0,0.0,0.0,938.0,0
Freak'n Genius,operating, Kinect ,|File Sharing|Photography|Messaging|Video|iPhone|iOS|Mobile|Social Media|Graphics|Kinect|Video Games|Games|Public Relations|,USA,WA,Seattle,1200000.0,3.0,2011-11-01,2012-10-02,2014-07-30,1200000.0,0.0,0.0,0.0,0.0,0.0,336.0,666
