name,status,market,category_list,country_code,state_code,region,funding_total_usd,funding_rounds,founded_at,first_funding_at,last_funding_at,seed,venture,angel,round_A,round_B,round_C,days_to_first_check,time_between_rounds
AdventureDrop,operating, Adventure Travel ,|Outdoors|Adventure Travel|Travel|Curated Web|,USA,CA,SF Bay Area,100000.0,1.0,2008-01-01,2008-05-01,2008-05-01,100000.0,0.0,0.0,0.0,0.0,0.0,121.0,0
Advice Company,operating, Legal ,|Lead Generation|Insurance|Legal|,USA,CA,SF Bay Area,1000000.0,2.0,1992-01-01,1995-03-17,2005-01-01,500000.0,0.0,500000.0,0.0,0.0,0.0,1171.0,3578
Advice Wallet,operating, Mobile ,|Internet Marketing|Social Media Marketing|Social Commerce|E-Commerce|Mobile|,USA,CA,SF Bay Area,395000.0,3.0,2012-01-01,2012-06-01,2013-07-31,395000.0,0.0,0.0,0.0,0.0,0.0,152.0,425
Adviously Inc.,operating, Advertising Platforms ,|Advertising Networks|Social Media Advertising|Online Video Advertising|Mobile Advertising|Advertising Platforms|,USA,CA,SF Bay Area,400000.0,1.0,2013-01-01,2014-09-09,2014-09-09,400000.0,0.0,0.0,0.0,0.0,0.0,616.0,0
Adwanted,operating, Television ,|Television|News|Media|Advertising|,FRA,Non-US/Unknown,Paris,269133.0,2.0,2012-04-01,2012-06-01,2012-12-01,74339.0,0.0,194794.0,0.0,0.0,0.0,61.0,183
AdYapper,operating, Sales and Marketing ,|Analytics|Sales and Marketing|Finance|Advertising|,USA,IL,Chicago,2200000.0,2.0,2010-06-01,2013-09-05,2014-05-08,2200000.0,0.0,0.0,0.0,0.0,0.0,1192.0,245
Adzuna,operating, Classifieds ,|Classifieds|Career Management|Employment|Search|,GBR,Non-US/Unknown,London,2762201.0,3.0,2010-01-01,2011-07-13,2013-04-01,478510.0,1514309.0,0.0,1514309.0,0.0,0.0,558.0,628
Aehr Test Systems,operating, Hardware + Software ,|Hardware + Software|,USA,CA,SF Bay Area,1158000.0,2.0,1977-01-01,1985-09-19,2013-03-28,1158000.0,0.0,0.0,0.0,0.0,0.0,3183.0,10052
Aentropico,operating, Predictive Analytics ,|Business Intelligence|Predictive Analytics|Big Data|Analytics|,BRA,Non-US/Unknown,Rio de Janeiro,503757.0,4.0,2012-02-01,2012-08-08,2013-07-29,415000.0,0.0,0.0,0.0,0.0,0.0,189.0,355
Aeria Games & Entertainment,operating, Games ,|Networking|Games|,USA,CA,SF Bay Area,288000.0,2.0,2006-08-02,2007-10-01,2012-01-06,288000.0,0.0,0.0,0.0,0.0,0.0,425.0,1558
Aero Glass,operating, Defense ,|Defense|Augmented Reality|,Unknown,Non-US/Unknown,Unknown,160000.0,2.0,2014-01-02,2014-05-01,2014-05-01,160000.0,0.0,0.0,0.0,0.0,0.0,119.0,0
AeroFarms,operating, Hospitality ,|Hospitality|Clean Technology|,USA,NY,New York City,500000.0,2.0,2004-01-01,2010-02-08,2010-04-14,500000.0,0.0,0.0,0.0,0.0,0.0,2230.0,65
